x,y,div_category,left,top,width,height,padding,fontSize,margin,lineHeight,borderRadius,backgroundColor_R,backgroundColor_G,backgroundColor_B,color_R,color_G,color_B,position_absolute,display_flex,alignItems_center,boxSizing_border-box,fontWeight_bold,border_none,cursor_pointer,hits
24,81,1,24,81,172,54,24,10.4,-1,-1,8,147,224,63,0,0,0,1,1,1,1,1,1,1,18
8,7,0,8,7,321,86,16,14.4,-1,-1,16,117,10,137,255,255,255,1,1,1,1,1,1,1,93
40,130,1,40,130,323,107,24,20.6,-1,-1,16,209,170,164,0,0,0,1,1,1,1,1,1,1,94
0,283,3,0,283,381,49,16,18.4,-1,-1,16,165,59,206,255,255,255,1,1,1,1,1,0,1,67
26,107,1,26,107,418,108,24,24.6,-1,-1,0,104,136,67,255,255,255,1,1,1,1,0,0,1,70
33,156,1,33,156,107,115,24,17.1,-1,-1,8,58,236,60,0,0,0,1,1,1,1,1,1,1,83
115,306,3,115,306,382,63,24,26.9,-1,-1,8,69,35,141,255,255,255,1,1,1,1,0,1,1,42
50,235,2,50,235,396,107,24,20.3,-1,-1,8,247,176,170,0,0,0,1,1,1,1,0,0,1,92
24,468,4,24,468,310,50,24,20.6,-1,-1,0,195,197,77,0,0,0,1,1,1,1,1,0,1,14
123,568,4,123,568,107,63,24,23.2,-1,-1,0,79,38,240,255,255,255,1,1,1,1,1,1,1,17
32,258,2,32,258,349,114,16,8.2,-1,-1,16,147,116,46,255,255,255,1,1,1,1,0,1,1,30
0,0,0,0,0,27,19,24,20.0,-1,-1,4,125,210,92,0,0,0,1,1,1,1,1,0,1,6
85,170,1,85,170,230,103,24,14.1,-1,-1,8,238,147,80,242,182,78,1,1,1,1,1,1,1,6
71,103,1,71,103,347,58,24,22.0,-1,-1,0,151,151,11,0,0,0,1,1,1,1,0,1,1,62
96,155,2,96,155,217,90,24,16.7,-1,-1,16,128,70,49,255,255,255,1,1,1,1,0,1,1,22
63,227,1,63,227,57,20,24,16.5,-1,-1,8,67,187,139,0,0,0,1,1,1,1,1,0,1,0
0,277,3,0,277,172,73,16,24.1,-1,-1,16,203,187,46,0,0,0,1,1,1,1,1,1,1,59
124,449,4,124,449,426,92,24,8.7,-1,-1,8,12,167,113,255,255,255,1,1,1,1,1,0,1,33
0,142,1,0,142,24,19,24,15.6,-1,-1,4,120,69,198,255,255,255,1,1,1,1,1,0,1,8
0,318,3,0,318,243,49,24,17.0,-1,-1,4,227,120,185,234,149,190,1,1,1,1,0,1,1,2
0,46,0,0,46,428,47,16,9.0,-1,-1,4,64,105,35,255,255,255,1,1,1,1,1,0,1,25
80,457,4,80,457,38,14,24,25.2,-1,-1,0,56,13,67,46,48,68,1,1,1,1,0,1,1,0
160,420,4,160,420,28,25,24,19.1,-1,-1,16,55,231,113,0,0,0,1,1,1,1,0,0,1,0
49,352,3,49,352,318,58,24,26.7,-1,-1,8,37,41,164,255,255,255,1,1,1,1,1,1,1,54
0,307,3,0,307,320,57,24,15.6,-1,-1,16,110,220,231,0,0,0,1,1,1,1,1,0,1,66
50,286,2,50,286,440,77,16,16.1,-1,-1,8,242,34,46,255,255,255,1,1,1,1,0,0,1,64
58,417,4,58,417,387,87,16,19.8,-1,-1,4,216,26,147,255,255,255,1,1,1,1,1,0,1,4
15,8,0,15,8,384,92,24,8.8,-1,-1,0,115,219,13,0,0,0,1,1,1,1,0,1,1,35
50,260,2,50,260,279,45,16,16.0,-1,-1,4,205,35,72,255,255,255,1,1,1,1,1,1,1,86
12,309,3,12,309,289,84,16,24.9,-1,-1,8,43,26,79,255,255,255,1,1,1,1,1,1,1,77
51,271,3,51,271,312,79,24,21.2,-1,-1,8,176,220,56,0,0,0,1,1,1,1,0,0,1,76
114,318,3,114,318,128,45,24,27.2,-1,-1,4,70,130,148,255,255,255,1,1,1,1,0,1,1,35
60,496,4,60,496,356,116,16,25.3,-1,-1,8,36,203,21,0,0,0,1,1,1,1,1,1,1,28
1,331,3,1,331,307,47,24,16.4,-1,-1,16,235,185,45,0,0,0,1,1,1,1,0,1,1,56
86,190,2,86,190,213,87,16,15.1,-1,-1,4,58,99,178,255,255,255,1,1,1,1,0,0,1,50
78,264,2,78,264,408,64,24,23.2,-1,-1,8,90,252,237,0,0,0,1,1,1,1,1,0,1,68
72,375,3,72,375,76,30,16,17.8,-1,-1,8,28,180,37,255,255,255,1,1,1,1,1,0,1,0
0,0,0,0,0,359,94,16,21.8,-1,-1,0,21,230,96,0,0,0,1,1,1,1,1,0,1,99
4,191,2,4,191,143,109,24,14.5,-1,-1,16,224,224,81,0,0,0,1,1,1,1,1,0,1,55
36,260,2,36,260,32,27,24,18.0,-1,-1,8,76,170,41,255,255,255,1,1,1,1,1,0,1,0
133,503,4,133,503,143,84,24,23.0,-1,-1,0,168,65,47,255,255,255,1,1,1,1,1,1,1,62
40,198,1,40,198,274,107,16,28.0,-1,-1,8,79,39,151,255,255,255,1,1,1,1,0,1,1,50
29,248,1,29,248,419,66,24,14.6,-1,-1,4,186,121,227,0,0,0,1,1,1,1,0,1,1,15
65,265,3,65,265,199,92,24,22.0,-1,-1,4,225,236,144,0,0,0,1,1,1,1,0,0,1,65
0,268,2,0,268,81,21,16,15.4,-1,-1,16,63,145,42,255,255,255,1,1,1,1,0,0,1,4
31,328,3,31,328,113,98,16,9.5,-1,-1,8,120,197,41,0,0,0,1,1,1,1,0,0,1,26
14,0,0,14,0,341,62,24,20.6,-1,-1,0,2,40,9,255,255,255,1,1,1,1,1,0,1,91
6,149,2,6,149,50,23,16,22.7,-1,-1,4,32,56,255,255,255,255,1,1,1,1,1,1,1,0
0,25,0,0,25,223,118,16,23.3,-1,-1,16,43,184,34,255,255,255,1,1,1,1,1,0,1,8
48,250,3,48,250,229,47,16,14.9,-1,-1,16,123,53,170,128,82,173,1,1,1,1,1,0,1,8
46,155,1,46,155,78,11,24,14.6,-1,-1,8,102,21,161,255,255,255,1,1,1,1,0,0,1,8
4,249,2,4,249,124,87,16,25.2,-1,-1,16,223,204,225,0,0,0,1,1,1,1,1,1,1,75
122,424,4,122,424,142,99,24,9.8,-1,-1,4,92,150,164,93,147,163,1,1,1,1,1,1,1,2
54,322,3,54,322,65,29,16,17.8,-1,-1,0,29,38,207,255,255,255,1,1,1,1,0,1,1,10
32,31,0,32,31,50,34,16,19.1,-1,-1,4,16,78,230,255,255,255,1,1,1,1,1,1,1,5
0,183,2,0,183,227,59,16,8.6,-1,-1,8,198,60,134,255,255,255,1,1,1,1,1,0,1,19
15,15,0,15,15,29,24,24,24.0,-1,-1,8,44,163,177,0,0,0,1,1,1,1,0,0,1,8
60,471,2,60,471,162,70,16,17.3,-1,-1,0,252,13,184,255,255,255,1,1,1,1,0,1,1,0
62,345,3,62,345,345,112,24,19.7,-1,-1,4,37,64,162,255,255,255,1,1,1,1,0,0,1,59
78,326,3,78,326,128,60,24,18.3,-1,-1,0,82,165,115,0,0,0,1,1,1,1,1,0,1,66
