x,y,div_category,left,top,width,height,padding,fontSize,margin,lineHeight,borderRadius,backgroundColor_R,backgroundColor_G,backgroundColor_B,color_R,color_G,color_B,position_absolute,display_flex,alignItems_center,boxSizing_border-box,fontWeight_bold,border_none,cursor_pointer,hits
24,81,1,24,81,172,54,24,10.4,-1,-1,8,147,224,63,0,0,0,1,1,1,1,1,1,1,18
8,7,0,8,7,321,86,16,14.4,-1,-1,16,117,10,137,255,255,255,1,1,1,1,1,1,1,93
40,130,1,40,130,323,107,24,20.6,-1,-1,16,209,170,164,0,0,0,1,1,1,1,1,1,1,94
0,283,3,0,283,381,49,16,18.4,-1,-1,16,165,59,206,255,255,255,1,1,1,1,1,0,1,67
26,107,1,26,107,418,108,24,24.6,-1,-1,0,104,136,67,255,255,255,1,1,1,1,0,0,1,70
33,156,1,33,156,107,115,24,17.1,-1,-1,8,58,236,60,0,0,0,1,1,1,1,1,1,1,83
115,306,3,115,306,382,63,24,26.9,-1,-1,8,69,35,141,255,255,255,1,1,1,1,0,1,1,42
50,235,2,50,235,396,107,24,20.3,-1,-1,8,247,176,170,0,0,0,1,1,1,1,0,0,1,92
24,468,4,24,468,310,50,24,20.6,-1,-1,0,195,197,77,0,0,0,1,1,1,1,1,0,1,14
123,568,4,123,568,107,63,24,23.2,-1,-1,0,79,38,240,255,255,255,1,1,1,1,1,1,1,17
32,258,2,32,258,349,114,16,8.2,-1,-1,16,147,116,46,255,255,255,1,1,1,1,0,1,1,30
0,0,0,0,0,27,19,24,20.0,-1,-1,4,125,210,92,0,0,0,1,1,1,1,1,0,1,6
85,170,1,85,170,230,103,24,14.1,-1,-1,8,238,147,80,242,182,78,1,1,1,1,1,1,1,6
71,103,1,71,103,347,58,24,22.0,-1,-1,0,151,151,11,0,0,0,1,1,1,1,0,1,1,62
96,155,2,96,155,217,90,24,16.7,-1,-1,16,128,70,49,255,255,255,1,1,1,1,0,1,1,22
63,227,1,63,227,57,20,24,16.5,-1,-1,8,67,187,139,0,0,0,1,1,1,1,1,0,1,0
0,277,3,0,277,172,73,16,24.1,-1,-1,16,203,187,46,0,0,0,1,1,1,1,1,1,1,59
124,449,4,124,449,426,92,24,8.7,-1,-1,8,12,167,113,255,255,255,1,1,1,1,1,0,1,33
0,142,1,0,142,24,19,24,15.6,-1,-1,4,120,69,198,255,255,255,1,1,1,1,1,0,1,8
0,318,3,0,318,243,49,24,17.0,-1,-1,4,227,120,185,234,149,190,1,1,1,1,0,1,1,2
0,46,0,0,46,428,47,16,9.0,-1,-1,4,64,105,35,255,255,255,1,1,1,1,1,0,1,25
80,457,4,80,457,38,14,24,25.2,-1,-1,0,56,13,67,46,48,68,1,1,1,1,0,1,1,0
160,420,4,160,420,28,25,24,19.1,-1,-1,16,55,231,113,0,0,0,1,1,1,1,0,0,1,0
49,352,3,49,352,318,58,24,26.7,-1,-1,8,37,41,164,255,255,255,1,1,1,1,1,1,1,54
0,307,3,0,307,320,57,24,15.6,-1,-1,16,110,220,231,0,0,0,1,1,1,1,1,0,1,66
50,286,2,50,286,440,77,16,16.1,-1,-1,8,242,34,46,255,255,255,1,1,1,1,0,0,1,64
58,417,4,58,417,387,87,16,19.8,-1,-1,4,216,26,147,255,255,255,1,1,1,1,1,0,1,4
15,8,0,15,8,384,92,24,8.8,-1,-1,0,115,219,13,0,0,0,1,1,1,1,0,1,1,35
50,260,2,50,260,279,45,16,16.0,-1,-1,4,205,35,72,255,255,255,1,1,1,1,1,1,1,86
12,309,3,12,309,289,84,16,24.9,-1,-1,8,43,26,79,255,255,255,1,1,1,1,1,1,1,77
51,271,3,51,271,312,79,24,21.2,-1,-1,8,176,220,56,0,0,0,1,1,1,1,0,0,1,76
114,318,3,114,318,128,45,24,27.2,-1,-1,4,70,130,148,255,255,255,1,1,1,1,0,1,1,35
60,496,4,60,496,356,116,16,25.3,-1,-1,8,36,203,21,0,0,0,1,1,1,1,1,1,1,28
1,331,3,1,331,307,47,24,16.4,-1,-1,16,235,185,45,0,0,0,1,1,1,1,0,1,1,56
86,190,2,86,190,213,87,16,15.1,-1,-1,4,58,99,178,255,255,255,1,1,1,1,0,0,1,50
78,264,2,78,264,408,64,24,23.2,-1,-1,8,90,252,237,0,0,0,1,1,1,1,1,0,1,68
72,375,3,72,375,76,30,16,17.8,-1,-1,8,28,180,37,255,255,255,1,1,1,1,1,0,1,0
0,0,0,0,0,359,94,16,21.8,-1,-1,0,21,230,96,0,0,0,1,1,1,1,1,0,1,99
4,191,2,4,191,143,109,24,14.5,-1,-1,16,224,224,81,0,0,0,1,1,1,1,1,0,1,55
36,260,2,36,260,32,27,24,18.0,-1,-1,8,76,170,41,255,255,255,1,1,1,1,1,0,1,0
133,503,4,133,503,143,84,24,23.0,-1,-1,0,168,65,47,255,255,255,1,1,1,1,1,1,1,62
40,198,1,40,198,274,107,16,28.0,-1,-1,8,79,39,151,255,255,255,1,1,1,1,0,1,1,50
29,248,1,29,248,419,66,24,14.6,-1,-1,4,186,121,227,0,0,0,1,1,1,1,0,1,1,15
65,265,3,65,265,199,92,24,22.0,-1,-1,4,225,236,144,0,0,0,1,1,1,1,0,0,1,65
0,268,2,0,268,81,21,16,15.4,-1,-1,16,63,145,42,255,255,255,1,1,1,1,0,0,1,4
31,328,3,31,328,113,98,16,9.5,-1,-1,8,120,197,41,0,0,0,1,1,1,1,0,0,1,26
14,0,0,14,0,341,62,24,20.6,-1,-1,0,2,40,9,255,255,255,1,1,1,1,1,0,1,91
6,149,2,6,149,50,23,16,22.7,-1,-1,4,32,56,255,255,255,255,1,1,1,1,1,1,1,0
0,25,0,0,25,223,118,16,23.3,-1,-1,16,43,184,34,255,255,255,1,1,1,1,1,0,1,8
48,250,3,48,250,229,47,16,14.9,-1,-1,16,123,53,170,128,82,173,1,1,1,1,1,0,1,8
46,155,1,46,155,78,11,24,14.6,-1,-1,8,102,21,161,255,255,255,1,1,1,1,0,0,1,8
4,249,2,4,249,124,87,16,25.2,-1,-1,16,223,204,225,0,0,0,1,1,1,1,1,1,1,75
122,424,4,122,424,142,99,24,9.8,-1,-1,4,92,150,164,93,147,163,1,1,1,1,1,1,1,2
54,322,3,54,322,65,29,16,17.8,-1,-1,0,29,38,207,255,255,255,1,1,1,1,0,1,1,10
32,31,0,32,31,50,34,16,19.1,-1,-1,4,16,78,230,255,255,255,1,1,1,1,1,1,1,5
0,183,2,0,183,227,59,16,8.6,-1,-1,8,198,60,134,255,255,255,1,1,1,1,1,0,1,19
15,15,0,15,15,29,24,24,24.0,-1,-1,8,44,163,177,0,0,0,1,1,1,1,0,0,1,8
60,471,2,60,471,162,70,16,17.3,-1,-1,0,252,13,184,255,255,255,1,1,1,1,0,1,1,0
62,345,3,62,345,345,112,24,19.7,-1,-1,4,37,64,162,255,255,255,1,1,1,1,0,0,1,59
78,326,3,78,326,128,60,24,18.3,-1,-1,0,82,165,115,0,0,0,1,1,1,1,1,0,1,66
104,500,4,104,500,420,83,24,15.3,-1,-1,0,86,78,87,255,255,255,1,1,1,1,0,0,1,64
0,0,0,0,0,395,78,24,24.7,-1,-1,16,213,15,254,255,255,255,1,1,1,1,0,1,1,100
20,244,2,20,244,130,65,24,20.8,-1,-1,16,104,174,73,0,0,0,1,1,1,1,0,1,1,89
235,395,4,235,395,263,75,16,17.7,-1,-1,8,126,72,49,135,110,62,1,1,1,1,1,0,1,0
67,75,1,67,75,363,104,16,18.3,-1,-1,8,11,46,201,255,255,255,1,1,1,1,0,0,1,47
21,305,2,21,305,434,105,24,14.1,-1,-1,8,55,220,68,0,0,0,1,1,1,1,0,1,1,53
1,0,0,1,0,199,91,24,15.0,-1,-1,8,230,143,60,202,153,67,1,1,1,1,0,0,1,12
84,497,4,84,497,356,50,24,8.4,-1,-1,4,170,242,233,195,219,234,1,1,1,1,1,1,1,5
83,478,4,83,478,360,113,24,21.9,-1,-1,8,243,8,188,255,255,255,1,1,1,1,0,1,1,59
41,200,2,41,200,396,118,16,14.7,-1,-1,4,245,87,194,236,51,227,1,1,1,1,0,1,1,11
125,278,2,125,278,311,71,24,24.8,-1,-1,16,241,31,70,255,255,255,1,1,1,1,1,0,1,35
0,307,3,0,307,275,114,24,24.8,-1,-1,4,135,247,98,0,0,0,1,1,1,1,1,1,1,65
13,174,1,13,174,350,85,24,21.8,-1,-1,8,140,147,62,0,0,0,1,1,1,1,0,1,1,65
0,0,0,0,0,140,89,24,23.2,-1,-1,4,245,109,103,0,0,0,1,1,1,1,0,0,1,98
60,174,1,60,174,87,17,16,14.7,-1,-1,16,211,169,241,188,129,255,1,1,1,1,1,1,1,4
0,126,1,0,126,247,86,16,14.8,-1,-1,0,45,118,19,255,255,255,1,1,1,1,1,1,1,63
21,113,1,21,113,248,49,24,9.7,-1,-1,4,54,171,145,0,0,0,1,1,1,1,1,1,1,30
110,156,1,110,156,269,65,16,23.1,-1,-1,4,95,7,172,255,255,255,1,1,1,1,1,1,1,43
56,506,4,56,506,305,57,24,16.0,-1,-1,8,165,127,3,255,255,255,1,1,1,1,1,0,1,15
124,301,2,124,301,220,52,24,20.5,-1,-1,8,81,207,159,0,0,0,1,1,1,1,0,0,1,22
0,120,1,0,120,332,92,16,21.7,-1,-1,16,241,111,126,0,0,0,1,1,1,1,1,0,1,64
183,441,4,183,441,90,26,24,21.5,-1,-1,0,84,167,226,70,201,248,1,1,1,1,1,0,1,0
142,500,4,142,500,388,52,16,23.4,-1,-1,0,157,11,202,255,255,255,1,1,1,1,0,1,1,53
2,236,2,2,236,377,52,24,15.0,-1,-1,8,241,16,146,255,255,255,1,1,1,1,1,1,1,80
0,259,3,0,259,449,114,16,10.6,-1,-1,0,60,91,201,255,255,255,1,1,1,1,0,1,1,23
29,250,3,29,250,378,99,16,25.5,-1,-1,0,126,235,177,0,0,0,1,1,1,1,1,0,1,56
105,82,1,105,82,151,49,16,23.4,-1,-1,0,24,125,22,255,255,255,1,1,1,1,0,1,1,28
22,145,1,22,145,394,85,16,24.8,-1,-1,16,164,121,154,0,0,0,1,1,1,1,1,1,1,88
43,0,0,43,0,402,67,24,20.0,-1,-1,16,253,24,176,255,255,255,1,1,1,1,1,0,1,66
86,240,2,86,240,375,105,16,17.2,-1,-1,16,73,237,29,0,0,0,1,1,1,1,0,1,1,80
0,158,1,0,158,140,102,16,15.3,-1,-1,0,97,26,137,255,255,255,1,1,1,1,0,0,1,65
47,275,3,47,275,270,83,16,14.2,-1,-1,16,97,60,245,255,255,255,1,1,1,1,0,1,1,80
42,216,2,42,216,373,90,24,19.0,-1,-1,4,254,238,50,0,0,0,1,1,1,1,1,1,1,86
44,326,3,44,326,48,33,16,8.8,-1,-1,16,213,151,78,0,0,0,1,1,1,1,1,1,1,0
103,250,3,103,250,428,107,16,24.3,-1,-1,0,180,86,71,255,255,255,1,1,1,1,0,0,1,35
63,0,0,63,0,422,74,24,8.5,-1,-1,0,111,233,191,149,254,213,1,1,1,1,0,1,1,0
112,493,4,112,493,108,109,24,23.4,-1,-1,8,91,54,49,255,255,255,1,1,1,1,1,1,1,72
8,0,0,8,0,307,103,16,27.9,-1,-1,0,115,153,41,0,0,0,1,1,1,1,1,1,1,96
31,280,3,31,280,128,46,16,15.2,-1,-1,4,222,169,48,0,0,0,1,1,1,1,1,1,1,85
0,25,0,0,25,450,80,24,21.9,-1,-1,0,16,91,161,2,126,139,1,1,1,1,1,0,1,10
137,442,4,137,442,299,114,24,24.6,-1,-1,8,71,40,177,86,29,146,1,1,1,1,0,1,1,5
75,312,3,75,312,282,115,16,20.0,-1,-1,8,194,43,151,255,255,255,1,1,1,1,0,1,1,72
72,165,1,72,165,262,91,16,8.0,-1,-1,4,157,227,184,0,0,0,1,1,1,1,1,1,1,23
78,447,4,78,447,308,58,16,9.1,-1,-1,4,47,166,197,59,175,167,1,1,1,1,1,0,1,3
69,164,1,69,164,237,108,24,8.5,-1,-1,4,141,215,153,0,0,0,1,1,1,1,1,0,1,24
39,304,3,39,304,58,10,16,18.7,-1,-1,8,194,168,225,0,0,0,1,1,1,1,1,0,1,12
91,276,3,91,276,303,85,24,23.7,-1,-1,8,251,124,166,0,0,0,1,1,1,1,0,0,1,57
147,461,4,147,461,192,115,24,10.2,-1,-1,16,107,224,149,0,0,0,1,1,1,1,0,1,1,24
31,183,1,31,183,178,99,24,15.0,-1,-1,0,245,205,214,0,0,0,1,1,1,1,0,0,1,67
73,288,2,73,288,413,50,16,23.0,-1,-1,16,204,169,220,176,162,208,1,1,1,1,1,1,1,5
92,300,3,92,300,401,109,16,28.0,-1,-1,4,247,53,151,255,255,255,1,1,1,1,1,1,1,62
67,221,2,67,221,205,111,16,20.7,-1,-1,4,224,231,163,189,205,125,1,1,1,1,0,0,1,10
136,464,4,136,464,386,99,16,17.2,-1,-1,4,207,94,95,255,255,255,1,1,1,1,1,1,1,81
43,323,3,43,323,47,16,16,23.9,-1,-1,8,32,52,95,255,255,255,1,1,1,1,1,1,1,5
79,553,4,79,553,300,120,16,9.1,-1,-1,8,234,88,152,0,0,0,1,1,1,1,0,0,1,0
0,167,2,0,167,67,32,16,9.2,-1,-1,4,70,196,216,0,0,0,1,1,1,1,1,1,1,2
86,171,1,86,171,330,51,24,27.3,-1,-1,16,248,69,99,255,255,255,1,1,1,1,1,1,1,59
64,325,3,64,325,142,117,24,10.3,-1,-1,16,149,16,140,255,255,255,1,1,1,1,0,0,1,27
39,186,2,39,186,287,114,24,14.6,-1,-1,0,225,111,217,216,109,181,1,1,1,1,1,0,1,6
43,112,1,43,112,401,89,16,22.5,-1,-1,8,219,84,71,255,255,255,1,1,1,1,1,0,1,79
79,231,2,79,231,249,82,16,27.3,-1,-1,4,48,69,210,255,255,255,1,1,1,1,0,0,1,79
6,220,2,6,220,446,95,16,22.1,-1,-1,16,137,212,192,0,0,0,1,1,1,1,1,1,1,72
56,277,3,56,277,267,119,24,10.3,-1,-1,4,47,234,183,0,0,0,1,1,1,1,1,0,1,33
7,309,3,7,309,245,88,16,15.8,-1,-1,16,248,175,24,255,193,0,1,1,1,1,1,0,1,4
49,279,3,49,279,167,83,16,27.1,-1,-1,0,140,47,184,255,255,255,1,1,1,1,1,1,1,80
21,149,1,21,149,146,57,24,9.4,-1,-1,0,67,115,227,70,90,241,1,1,1,1,0,1,1,4
0,0,0,0,0,152,58,16,26.3,-1,-1,0,70,195,68,0,0,0,1,1,1,1,0,1,1,100
11,227,2,11,227,421,64,16,22.6,-1,-1,16,226,111,44,0,0,0,1,1,1,1,1,1,1,74
52,328,2,52,328,226,80,16,17.5,-1,-1,16,145,13,154,255,255,255,1,1,1,1,1,0,1,42
74,133,1,74,133,157,75,16,22.3,-1,-1,16,6,184,162,38,197,168,1,1,1,1,0,0,1,7
119,429,4,119,429,53,16,16,8.2,-1,-1,8,203,146,212,0,0,0,1,1,1,1,0,1,1,1
0,0,0,0,0,204,64,16,19.5,-1,-1,4,33,158,223,0,0,0,1,1,1,1,0,1,1,100
9,0,0,9,0,411,52,16,24.4,-1,-1,16,89,61,6,255,255,255,1,1,1,1,1,1,1,94
60,201,1,60,201,237,60,16,14.4,-1,-1,16,219,139,32,0,0,0,1,1,1,1,1,1,1,52
0,12,0,0,12,390,66,16,17.6,-1,-1,4,52,59,116,255,255,255,1,1,1,1,0,1,1,86
67,215,2,67,215,176,67,24,26.0,-1,-1,8,214,114,164,0,0,0,1,1,1,1,0,1,1,74
6,0,0,6,0,126,67,24,21.2,-1,-1,8,23,205,35,0,0,0,1,1,1,1,0,1,1,98
2,0,0,2,0,249,117,16,24.4,-1,-1,4,124,237,188,0,0,0,1,1,1,1,0,0,1,98
40,319,3,40,319,89,21,24,23.7,-1,-1,0,4,171,0,255,255,255,1,1,1,1,0,0,1,7
98,338,3,98,338,130,63,16,15.3,-1,-1,4,118,211,190,0,0,0,1,1,1,1,1,0,1,46
227,439,4,227,439,322,61,16,17.7,-1,-1,4,161,201,167,0,0,0,1,1,1,1,0,0,1,0
74,147,1,74,147,77,24,16,15.7,-1,-1,0,183,106,231,0,0,0,1,1,1,1,0,1,1,5
229,437,4,229,437,61,14,16,8.7,-1,-1,0,182,202,25,0,0,0,1,1,1,1,1,1,1,0
78,446,4,78,446,227,57,24,25.3,-1,-1,0,71,62,6,59,38,0,1,1,1,1,1,0,1,7
0,0,0,0,0,201,101,24,15.3,-1,-1,16,169,62,21,255,255,255,1,1,1,1,1,0,1,96
9,306,3,9,306,188,90,24,16.6,-1,-1,16,143,228,76,182,255,67,1,1,1,1,1,0,1,8
10,56,0,10,56,170,98,24,26.4,-1,-1,8,127,9,195,255,255,255,1,1,1,1,1,1,1,53
78,205,2,78,205,263,73,16,10.4,-1,-1,4,143,29,241,255,255,255,1,1,1,1,0,0,1,26
4,159,1,4,159,128,73,24,27.8,-1,-1,0,198,181,88,0,0,0,1,1,1,1,1,0,1,68
53,543,4,53,543,352,114,24,20.9,-1,-1,0,46,28,119,255,255,255,1,1,1,1,1,0,1,0
87,121,1,87,121,190,86,24,8.4,-1,-1,0,72,56,186,255,255,255,1,1,1,1,1,1,1,22
0,321,2,0,321,40,33,24,25.1,-1,-1,4,249,162,89,0,0,0,1,1,1,1,0,1,1,3
35,314,2,35,314,250,61,16,14.0,-1,-1,0,200,16,93,255,255,255,1,1,1,1,1,0,1,56
0,204,2,0,204,221,89,16,16.4,-1,-1,0,45,171,228,31,162,196,1,1,1,1,0,1,1,4
40,301,3,40,301,185,97,16,19.3,-1,-1,4,192,51,245,255,255,255,1,1,1,1,1,0,1,99
0,18,0,0,18,263,78,16,15.0,-1,-1,8,87,192,82,0,0,0,1,1,1,1,1,0,1,85
0,294,3,0,294,184,100,24,15.4,-1,-1,8,105,97,209,255,255,255,1,1,1,1,1,0,1,69
3,15,0,3,15,90,25,24,19.1,-1,-1,4,218,44,150,255,255,255,1,1,1,1,0,0,1,9
68,95,1,68,95,249,55,24,15.6,-1,-1,4,203,241,250,0,0,0,1,1,1,1,1,1,1,55
0,316,2,0,316,122,78,16,17.7,-1,-1,8,137,31,77,255,255,255,1,1,1,1,1,0,1,35
136,440,4,136,440,69,26,16,21.5,-1,-1,4,243,120,243,0,0,0,1,1,1,1,0,1,1,5
102,144,1,102,144,185,72,16,15.8,-1,-1,8,216,40,222,255,255,255,1,1,1,1,1,0,1,52
35,2,0,35,2,303,115,16,17.9,-1,-1,0,234,6,214,213,0,246,1,1,1,1,0,1,1,7
223,540,4,223,540,310,78,24,20.8,-1,-1,0,242,19,88,255,255,255,1,1,1,1,1,1,1,0
30,178,1,30,178,80,18,16,14.3,-1,-1,4,155,159,143,0,0,0,1,1,1,1,0,1,1,9
65,354,3,65,354,264,79,24,22.5,-1,-1,8,45,96,226,255,255,255,1,1,1,1,0,0,1,54
0,20,0,0,20,359,96,16,10.6,-1,-1,4,14,88,98,255,255,255,1,1,1,1,0,1,1,31
31,0,0,31,0,201,80,24,20.5,-1,-1,4,203,63,15,255,255,255,1,1,1,1,1,1,1,75
0,117,2,0,117,232,56,24,19.4,-1,-1,16,83,109,113,255,255,255,1,1,1,1,0,0,1,7
29,328,3,29,328,431,67,24,14.1,-1,-1,16,129,156,140,0,0,0,1,1,1,1,1,0,1,74
100,302,3,100,302,366,95,24,14.1,-1,-1,8,191,144,152,0,0,0,1,1,1,1,1,1,1,51
105,157,2,105,157,433,83,16,21.2,-1,-1,16,123,29,206,255,255,255,1,1,1,1,1,1,1,19
0,297,3,0,297,118,119,24,22.0,-1,-1,8,97,175,113,0,0,0,1,1,1,1,1,0,1,69
139,468,4,139,468,149,105,24,8.8,-1,-1,16,93,171,45,0,0,0,1,1,1,1,1,1,1,30
0,234,2,0,234,337,60,24,26.1,-1,-1,8,36,241,99,0,0,0,1,1,1,1,1,0,1,79
0,166,1,0,166,45,20,16,22.0,-1,-1,16,234,73,161,0,0,0,1,1,1,1,1,0,1,3
54,183,2,54,183,102,102,16,24.7,-1,-1,16,86,81,250,255,255,255,1,1,1,1,1,1,1,61
19,257,3,19,257,296,45,16,8.6,-1,-1,0,191,7,164,255,255,255,1,1,1,1,0,0,1,24
37,297,2,37,297,152,94,24,18.3,-1,-1,16,33,23,152,255,255,255,1,1,1,1,0,1,1,63
0,320,3,0,320,196,66,16,26.9,-1,-1,0,206,9,116,255,255,255,1,1,1,1,0,0,1,68
18,192,2,18,192,119,93,16,17.6,-1,-1,16,24,24,55,255,255,255,1,1,1,1,1,1,1,56
0,0,0,0,0,342,64,24,23.6,-1,-1,4,4,154,215,255,255,255,1,1,1,1,1,0,1,100
92,422,4,92,422,160,81,24,8.3,-1,-1,16,101,102,134,255,255,255,1,1,1,1,1,0,1,19
58,1,0,58,1,206,106,16,14.0,-1,-1,8,45,56,252,16,81,221,1,1,1,1,0,1,1,7
12,252,2,12,252,125,57,16,26.2,-1,-1,0,148,184,160,0,0,0,1,1,1,1,0,0,1,75
35,226,2,35,226,324,79,24,15.3,-1,-1,16,175,93,58,255,255,255,1,1,1,1,1,1,1,92
64,170,1,64,170,27,15,16,10.7,-1,-1,4,247,224,92,0,0,0,1,1,1,1,1,1,1,5
0,0,0,0,0,325,50,16,10.0,-1,-1,16,6,114,173,255,255,255,1,1,1,1,0,1,1,41
28,101,2,28,101,428,94,24,10.5,-1,-1,4,27,5,80,255,255,255,1,1,1,1,0,1,1,3
0,322,2,0,322,242,51,24,21.7,-1,-1,16,193,206,120,209,239,137,1,1,1,1,1,0,1,0
105,290,3,105,290,109,58,24,14.5,-1,-1,8,0,46,155,255,255,255,1,1,1,1,1,0,1,47
63,152,1,63,152,269,116,24,22.4,-1,-1,8,186,231,58,174,191,61,1,1,1,1,0,0,1,6
163,184,1,163,184,309,58,24,16.7,-1,-1,0,61,201,110,0,0,0,1,1,1,1,1,0,1,0
113,431,4,113,431,77,24,24,27.4,-1,-1,16,68,255,2,0,0,0,1,1,1,1,0,0,1,2
0,148,1,0,148,61,26,24,19.9,-1,-1,4,127,140,203,0,0,0,1,1,1,1,0,1,1,10
82,413,4,82,413,362,83,24,21.7,-1,-1,4,160,111,102,255,255,255,1,1,1,1,0,1,1,24
0,0,0,0,0,387,106,16,27.2,-1,-1,16,213,146,216,0,0,0,1,1,1,1,0,0,1,100
50,26,0,50,26,182,81,24,16.0,-1,-1,0,31,151,104,255,255,255,1,1,1,1,0,1,1,51
